"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "Docker", "HTML", "comment", "blank", "total"
"e:\diploma\frontend\src\components\PointItem.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
"e:\diploma\frontend\src\components\PointMarkItem.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 2, 1, 22
"e:\diploma\frontend\src\components\PromoCodeItem.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"e:\diploma\frontend\src\components\RecycleCamera.jsx", "JavaScript JSX", 0, 405, 0, 0, 0, 0, 0, 0, 5, 30, 440
"e:\diploma\frontend\src\components\Wrapper.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"e:\diploma\frontend\src\components\constants.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 2, 9, 40
"e:\diploma\frontend\src\components\styles\AddArticle.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\diploma\frontend\src\components\styles\RecycleCamera.css", "PostCSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"e:\diploma\frontend\src\image\EcoSort.svg", "XML", 0, 0, 0, 55, 0, 0, 0, 0, 1, 1, 57
"e:\diploma\frontend\src\image\EcoSort2.svg", "XML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"e:\diploma\frontend\src\image\WasteWiseLogo.svg", "XML", 0, 0, 0, 215, 0, 0, 0, 0, 1, 1, 217
"e:\diploma\frontend\src\image\bio-leaves.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\diploma\frontend\src\image\earth.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
"e:\diploma\frontend\src\image\icon-close-menu.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\diploma\frontend\src\image\icon-menu.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"e:\diploma\frontend\src\index.css", "PostCSS", 0, 0, 18, 0, 0, 0, 0, 0, 11, 8, 37
"e:\diploma\frontend\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\diploma\frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\diploma\frontend\src\pages\AddArticlesPage.jsx", "JavaScript JSX", 0, 145, 0, 0, 0, 0, 0, 0, 1, 17, 163
"e:\diploma\frontend\src\pages\AddDisсountPage.jsx", "JavaScript JSX", 0, 106, 0, 0, 0, 0, 0, 0, 0, 11, 117
"e:\diploma\frontend\src\pages\AddMarksPage.jsx", "JavaScript JSX", 0, 390, 0, 0, 0, 0, 0, 0, 0, 22, 412
"e:\diploma\frontend\src\pages\AddPointPage.jsx", "JavaScript JSX", 0, 218, 0, 0, 0, 0, 0, 0, 10, 24, 252
"e:\diploma\frontend\src\pages\AllArticlesPage.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"e:\diploma\frontend\src\pages\AllDiscointPage.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 2, 7, 50
"e:\diploma\frontend\src\pages\ArticlePage.jsx", "JavaScript JSX", 0, 204, 0, 0, 0, 0, 0, 0, 6, 19, 229
"e:\diploma\frontend\src\pages\ChangePassPage.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 13, 140
"e:\diploma\frontend\src\pages\ChangeUsername.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 13, 140
"e:\diploma\frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 0, 0, 10, 108
"e:\diploma\frontend\src\pages\MainPage.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 2, 4, 51
"e:\diploma\frontend\src\pages\MarksPage.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 2, 7, 45
"e:\diploma\frontend\src\pages\MyDiscountPage.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 5, 9, 84
"e:\diploma\frontend\src\pages\PointPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"e:\diploma\frontend\src\pages\PointsMarksPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\diploma\frontend\src\pages\ReceptionPage.jsx", "JavaScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 20, 14, 150
"e:\diploma\frontend\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 11, 130
"e:\diploma\frontend\src\pages\UpArticlesPage.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 0, 0, 15, 18, 191
"e:\diploma\frontend\src\pages\UpdateDiscountPage.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 10, 113
"e:\diploma\frontend\src\pages\UpdateMarkPage.jsx", "JavaScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 0, 16, 196
