"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "Docker", "HTML", "comment", "blank", "total"
"e:\diploma\frontend\src\pages\ChangePassPage.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 13, 140
"e:\diploma\frontend\src\pages\ChangeUsername.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 13, 140
"e:\diploma\frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 0, 0, 10, 108
"e:\diploma\frontend\src\pages\MainPage.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 2, 4, 51
"e:\diploma\frontend\src\pages\MarksPage.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 2, 7, 45
"e:\diploma\frontend\src\pages\MyDiscountPage.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 5, 9, 84
"e:\diploma\frontend\src\pages\PointPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"e:\diploma\frontend\src\pages\PointsMarksPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\diploma\frontend\src\pages\ReceptionPage.jsx", "JavaScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 20, 14, 150
"e:\diploma\frontend\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 11, 130
"e:\diploma\frontend\src\pages\UpArticlesPage.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 0, 0, 15, 18, 191
"e:\diploma\frontend\src\pages\UpdateDiscountPage.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 10, 113
"e:\diploma\frontend\src\pages\UpdateMarkPage.jsx", "JavaScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 0, 16, 196
"e:\diploma\frontend\src\pages\UpdatePointPage.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 10, 110
"e:\diploma\frontend\src\pages\UpdateSecretKeyPage.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"e:\diploma\frontend\src\redux\features\alldiscount\alldiscountSlice.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 7, 16, 199
"e:\diploma\frontend\src\redux\features\articles\articleSlice.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 0, 5, 14, 176
"e:\diploma\frontend\src\redux\features\auth\authSlice.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 3, 11, 127
"e:\diploma\frontend\src\redux\features\comment\commentSlice.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 3, 10, 110
"e:\diploma\frontend\src\redux\features\discount\discountSlice.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
"e:\diploma\frontend\src\redux\features\mark\markSlice.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 8, 12, 141
"e:\diploma\frontend\src\redux\features\point\pointSlice.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 13, 14, 185
"e:\diploma\frontend\src\redux\features\point_mark\point_markSlice.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 5, 45
"e:\diploma\frontend\src\redux\features\promo_code\promo_codeSlice.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 7, 7, 82
"e:\diploma\frontend\src\redux\features\reception\receptionSlice.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"e:\diploma\frontend\src\redux\features\secretkey\secretkeySlice.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 5, 56
"e:\diploma\frontend\src\redux\features\user\userSlice.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 4, 11, 131
"e:\diploma\frontend\src\redux\features\weight\weightSlice.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 3, 5, 54
"e:\diploma\frontend\src\redux\store.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\diploma\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\diploma\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\diploma\frontend\src\utils\axios.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\diploma\frontend\tailwind.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 0, 21
"Total", "-", 1424, 3812, 99, 325, 38, 20485, 8, 20, 197, 614, 27022
