Date : 2025-06-06 03:05:11
Directory : e:\diploma\frontend
Total : 80 files,  26211 codes, 197 comments, 614 blanks, all 27022 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| e:\diploma\frontend\src\image\EcoSort2.svg                             | XML            |         41 |          0 |          2 |         43 |
| e:\diploma\frontend\src\image\WasteWiseLogo.svg                        | XML            |        215 |          1 |          1 |        217 |
| e:\diploma\frontend\src\image\bio-leaves.svg                           | XML            |          4 |          0 |          1 |          5 |
| e:\diploma\frontend\src\image\earth.svg                                | XML            |          2 |          1 |          0 |          3 |
| e:\diploma\frontend\src\image\icon-close-menu.svg                      | XML            |          3 |          0 |          1 |          4 |
| e:\diploma\frontend\src\image\icon-menu.svg                            | XML            |          4 |          0 |          0 |          4 |
| e:\diploma\frontend\src\index.css                                      | PostCSS        |         18 |         11 |          8 |         37 |
| e:\diploma\frontend\src\index.js                                       | JavaScript     |         15 |          0 |          3 |         18 |
| e:\diploma\frontend\src\logo.svg                                       | XML            |          1 |          0 |          0 |          1 |
| e:\diploma\frontend\src\pages\AddArticlesPage.jsx                      | JavaScript JSX |        145 |          1 |         17 |        163 |
| e:\diploma\frontend\src\pages\AddDisсountPage.jsx                      | JavaScript JSX |        106 |          0 |         11 |        117 |
| e:\diploma\frontend\src\pages\AddMarksPage.jsx                         | JavaScript JSX |        390 |          0 |         22 |        412 |
| e:\diploma\frontend\src\pages\AddPointPage.jsx                         | JavaScript JSX |        218 |         10 |         24 |        252 |
| e:\diploma\frontend\src\pages\AllArticlesPage.jsx                      | JavaScript JSX |         42 |          0 |          5 |         47 |
| e:\diploma\frontend\src\pages\AllDiscointPage.jsx                      | JavaScript JSX |         41 |          2 |          7 |         50 |
| e:\diploma\frontend\src\pages\ArticlePage.jsx                          | JavaScript JSX |        204 |          6 |         19 |        229 |
| e:\diploma\frontend\src\pages\ChangePassPage.jsx                       | JavaScript JSX |        127 |          0 |         13 |        140 |
| e:\diploma\frontend\src\pages\ChangeUsername.jsx                       | JavaScript JSX |        127 |          0 |         13 |        140 |
| e:\diploma\frontend\src\pages\LoginPage.jsx                            | JavaScript JSX |         98 |          0 |         10 |        108 |
| e:\diploma\frontend\src\pages\MainPage.jsx                             | JavaScript JSX |         45 |          2 |          4 |         51 |
| e:\diploma\frontend\src\pages\MarksPage.jsx                            | JavaScript JSX |         36 |          2 |          7 |         45 |
| e:\diploma\frontend\src\pages\MyDiscountPage.jsx                       | JavaScript JSX |         70 |          5 |          9 |         84 |
| e:\diploma\frontend\src\pages\PointPage.jsx                            | JavaScript JSX |         52 |          0 |          5 |         57 |
| e:\diploma\frontend\src\pages\PointsMarksPage.jsx                      | JavaScript JSX |         52 |          0 |          7 |         59 |
| e:\diploma\frontend\src\pages\ReceptionPage.jsx                        | JavaScript JSX |        116 |         20 |         14 |        150 |
| e:\diploma\frontend\src\pages\RegisterPage.jsx                         | JavaScript JSX |        119 |          0 |         11 |        130 |
| e:\diploma\frontend\src\pages\UpArticlesPage.jsx                       | JavaScript JSX |        158 |         15 |         18 |        191 |
| e:\diploma\frontend\src\pages\UpdateDiscountPage.jsx                   | JavaScript JSX |        103 |          0 |         10 |        113 |
| e:\diploma\frontend\src\pages\UpdateMarkPage.jsx                       | JavaScript JSX |        180 |          0 |         16 |        196 |
| e:\diploma\frontend\src\pages\UpdatePointPage.jsx                      | JavaScript JSX |        100 |          0 |         10 |        110 |
| e:\diploma\frontend\src\pages\UpdateSecretKeyPage.jsx                  | JavaScript JSX |         72 |          0 |          8 |         80 |
| e:\diploma\frontend\src\redux\features\alldiscount\alldiscountSlice.js | JavaScript     |        176 |          7 |         16 |        199 |
| e:\diploma\frontend\src\redux\features\articles\articleSlice.js        | JavaScript     |        157 |          5 |         14 |        176 |
| e:\diploma\frontend\src\redux\features\auth\authSlice.js               | JavaScript     |        113 |          3 |         11 |        127 |
| e:\diploma\frontend\src\redux\features\comment\commentSlice.js         | JavaScript     |         97 |          3 |         10 |        110 |
| e:\diploma\frontend\src\redux\features\discount\discountSlice.js       | JavaScript     |         41 |          1 |          5 |         47 |
| e:\diploma\frontend\src\redux\features\mark\markSlice.js               | JavaScript     |        121 |          8 |         12 |        141 |
| e:\diploma\frontend\src\redux\features\point\pointSlice.js             | JavaScript     |        158 |         13 |         14 |        185 |
| e:\diploma\frontend\src\redux\features\point_mark\point_markSlice.js   | JavaScript     |         39 |          1 |          5 |         45 |
| e:\diploma\frontend\src\redux\features\promo_code\promo_codeSlice.js   | JavaScript     |         68 |          7 |          7 |         82 |
| e:\diploma\frontend\src\redux\features\reception\receptionSlice.js     | JavaScript     |         43 |          3 |          5 |         51 |
| e:\diploma\frontend\src\redux\features\secretkey\secretkeySlice.js     | JavaScript     |         47 |          4 |          5 |         56 |
| e:\diploma\frontend\src\redux\features\user\userSlice.js               | JavaScript     |        116 |          4 |         11 |        131 |
| e:\diploma\frontend\src\redux\features\weight\weightSlice.js           | JavaScript     |         46 |          3 |          5 |         54 |
| e:\diploma\frontend\src\redux\store.js                                 | JavaScript     |         31 |          0 |          1 |         32 |
| e:\diploma\frontend\src\reportWebVitals.js                             | JavaScript     |         12 |          0 |          2 |         14 |
| e:\diploma\frontend\src\setupTests.js                                  | JavaScript     |          1 |          4 |          1 |          6 |
| e:\diploma\frontend\src\utils\axios.js                                 | JavaScript     |          9 |          0 |          4 |         13 |
| e:\diploma\frontend\tailwind.config.js                                 | JavaScript     |         19 |          2 |          0 |         21 |
| Total                                                                  |                |     26,211 |        197 |        614 |     27,022 |
+------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
